kW,HP,FLC_Star,FLC_Delta,MPCB_Schneider_Model,MPCB_Schneider_Range,MPCB_Schneider_Next_Model,MPCB_Schneider_Next_Range,MPCB_ABB_Model,MPCB_ABB_Range,Contactor_ABB,Contactor_ABB_Amp,Contactor_Siemens,Contactor_Siemens_Amp,Contactor_L&T,Contactor_L&T_Amp,Cable_Al,Cable_Cu,Cable_Gland,Bearing_ABB_DE,Bearing_ABB_NDE,Bearing_Siemens_DE,Bearing_Siemens_NDE
83.62,112.13,150.52,260.7,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
83.99,112.63,151.18,261.84,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
84.36,113.13,151.85,263.0,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
84.73,113.62,152.51,264.15,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
85.1,114.12,153.18,265.31,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
85.47,114.62,153.85,266.47,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
85.84,115.11,154.51,267.61,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
86.21,115.61,155.18,268.77,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
86.58,116.1,155.84,269.91,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
86.95,116.6,156.51,271.08,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
87.32,117.1,157.18,272.24,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
87.69,117.59,157.84,273.38,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
88.06,118.09,158.51,274.54,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
88.43,118.58,159.17,275.68,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
88.8,119.08,159.84,276.84,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
89.17,119.58,160.51,278.0,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
89.54,120.07,161.17,279.15,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
89.91,120.57,161.84,280.31,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
90.28,121.07,162.5,281.45,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
90.65,121.56,163.17,282.61,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
91.02,122.06,163.84,283.77,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
91.39,122.55,164.5,284.91,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
91.76,123.05,165.17,286.07,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
92.13,123.55,165.83,287.22,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
92.5,124.04,166.5,288.38,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
92.87,124.54,167.17,289.54,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
93.24,125.03,167.83,290.68,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
93.61,125.53,168.5,291.84,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
93.98,126.03,169.16,292.99,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
94.35,126.52,169.83,294.15,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
94.72,127.02,170.5,295.31,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
95.09,127.52,171.16,296.45,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
95.46,128.01,171.83,297.61,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
95.83,128.51,172.49,298.75,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
96.2,129.0,173.16,299.91,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
96.57,129.5,173.83,301.07,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
96.94,130.0,174.49,302.22,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
97.31,130.49,175.16,303.38,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
97.68,130.99,175.82,304.52,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
98.05,131.49,176.49,305.68,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
98.42,131.98,177.16,306.84,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
98.79,132.48,177.82,307.98,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
99.16,132.97,178.49,309.14,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
99.53,133.47,179.15,310.29,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
99.9,133.97,179.82,311.45,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
100.27,134.46,180.49,312.61,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
100.64,134.96,181.15,313.75,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
101.01,135.45,181.82,314.91,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
101.38,135.95,182.48,316.06,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
101.75,136.45,183.15,317.22,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
102.12,136.94,183.82,318.38,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
102.49,137.44,184.48,319.52,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
102.86,137.94,185.15,320.68,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
103.23,138.43,185.81,321.82,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
103.6,138.93,186.48,322.98,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
103.97,139.42,187.15,324.14,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
104.34,139.92,187.81,325.29,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
104.71,140.42,188.48,326.45,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
105.08,140.91,189.14,327.59,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
105.45,141.41,189.81,328.75,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
105.82,141.9,190.48,329.91,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
106.19,142.4,191.14,331.05,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
106.56,142.9,191.81,332.21,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
106.93,143.39,192.47,333.36,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
107.3,143.89,193.14,334.52,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
107.67,144.39,193.81,335.68,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
108.04,144.88,194.47,336.82,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
108.41,145.38,195.14,337.98,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
108.78,145.87,195.8,339.13,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
109.15,146.37,196.47,340.29,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
109.52,146.87,197.14,341.45,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
109.89,147.36,197.8,342.59,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
110.26,147.86,198.47,343.75,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
110.63,148.35,199.13,344.89,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
111.0,148.85,199.8,346.05,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
111.37,149.35,200.47,347.21,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
111.74,149.84,201.13,348.36,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
112.11,150.34,201.8,349.52,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
112.48,150.84,202.46,350.66,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
112.85,151.33,203.13,351.82,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
113.22,151.83,203.8,352.98,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
113.59,152.32,204.46,354.12,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
113.96,152.82,205.13,355.29,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
114.33,153.32,205.79,356.43,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
114.7,153.81,206.46,357.59,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
115.07,154.31,207.13,358.75,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
115.44,154.81,207.79,359.89,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
115.81,155.3,208.46,361.05,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
116.18,155.8,209.12,362.2,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
116.55,156.29,209.79,363.36,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
116.92,156.79,210.46,364.52,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
117.29,157.29,211.12,365.66,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
117.66,157.78,211.79,366.82,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
118.03,158.28,212.45,367.96,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
118.4,158.77,213.12,369.12,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
118.77,159.27,213.79,370.28,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
119.14,159.77,214.45,371.43,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
119.51,160.26,215.12,372.59,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
119.88,160.76,215.78,373.73,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
120.25,161.26,216.45,374.89,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
120.62,161.75,217.12,376.05,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
120.99,162.25,217.78,377.19,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
121.36,162.74,218.45,378.36,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
121.73,163.24,219.11,379.5,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
122.1,163.74,219.78,380.66,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
122.47,164.23,220.45,381.82,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
122.84,164.73,221.11,382.96,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
123.21,165.22,221.78,384.12,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
123.58,165.72,222.44,385.27,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
123.95,166.22,223.11,386.43,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
124.32,166.71,223.78,387.59,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
124.69,167.21,224.44,388.73,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
125.06,167.71,225.11,389.89,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
125.43,168.2,225.77,391.03,GV3ME63,40–63 A,GV3ME80,63–80 A,MS325-63,40–63 A,A95-30-11,95 A,3RT2076,93 A,MNX-95,95 A,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled,To be filled
